material_id,formula_pretty,energy_above_hull,formation_energy_per_atom,is_stable,density,volume,nsites,band_gap,is_metal,theoretical,working_ion,framework_formula,n_possible_working_ions,pred_average_voltage,pred_max_delta_volume,volume_prediction_valid,pareto
mp-774832,Ba10Li2Bi4O21,0.0,-2.368056011801802,True,6.363113524855248,1335.6419789307945,74,0.0,True,True,Li,Ba10Bi4O21,1,1.8414819,0.08598875254392624,True,False
mp-1229016,Ba10Zn4Cu(WO6)5,0.013276601250001185,-2.607296228,False,7.328233865089173,701.9074954361249,50,0.0,True,True,Zn,Ba10Cu(WO6)5,1,0.38132837,0.08598875254392624,True,False
mp-1229266,Ba12SrCa3(Ru2O9)4,0.0016925283333319996,-2.4646319715000002,False,5.737474783593231,937.8118738314402,60,0.0,True,True,Ca,Ba12Sr(Ru2O9)4,1,1.8127837,0.08598875254392624,True,False
mp-555356,Ba13Dy8Zn4Pt4O37,0.0,-2.8347090289141406,True,7.575115013995467,1034.4948278673364,66,2.2975000000000003,False,False,Zn,Ba13Dy8Pt4O37,1,0.68546844,0.08598875254392624,True,False
mp-645700,Ba14Na11Li5N6,0.04642316978494376,-0.24673207532886346,False,2.6568488054693518,1433.8890601806982,36,0.0,True,False,Li,Ba14Na11N6,2,0.10240211,0.09495967626571655,True,False
mp-1228674,Ba2AlZnF9,0.004847044134603351,-3.7420089255769233,False,4.685269819560029,762.7480573224825,52,5.6548,False,True,Zn,Ba2AlF9,1,1.8062345,0.08598875254392624,True,False
mp-8271,Ba2Ca(BO2)6,0.0,-3.113965850714285,True,3.4533110899320687,274.85182484787623,21,5.0129,False,False,Ca,Ba(BO2)3,1,1.2609217,0.08598875254392624,True,False
mp-17380,Ba2Ca(PdO2)3,0.0,-2.0190231104166663,True,6.162650553580112,393.3937994761696,24,1.4866000000000001,False,False,Ca,Ba2(PdO2)3,1,2.2464893,0.08598875254392624,True,False
mp-683427,Ba2Ca(PdO2)3,0.017086948749994058,-2.0019361616666664,False,6.162650553580112,393.3937994761696,24,1.1994999999999996,False,True,Ca,Ba2(PdO2)3,1,2.2464893,0.08598875254392624,True,False
mp-22601,Ba2Ca2Cu3HgO8,0.01764729989582925,-2.0418209482812504,False,5.894777210953216,246.21223571203876,16,0.0,True,False,Ca,Ba2Cu3HgO8,1,2.986188,0.08598875254392624,True,False
mp-653154,Ba2Ca2Tl2Cu3O10,0.017068089999995983,-1.9272888745614043,False,6.580189589033859,281.1753196762088,19,0.0,True,True,Ca,Ba2Tl2Cu3O10,1,3.411969,0.08598875254392624,True,False
mp-1228620,Ba2Ca2Tl2Cu3O10,0.006452679473680334,-1.9379042850877202,False,6.662240223477144,277.71242842711695,19,0.0,True,True,Ca,Ba2Tl2Cu3O10,1,3.411969,0.08598875254392624,True,False
mp-1228579,Ba2Ca3Cu4HgO10,0.019571990250000226,-2.056499590625001,False,5.687939470507563,294.7593311888536,20,0.0,True,True,Ca,Ba2Cu4HgO10,1,3.2385666,0.08598875254392624,True,False
mp-1228589,Ba2Ca3TlCu4O11,0.025427959246027143,-2.0453175208730157,False,5.918988212286964,288.80608044637665,21,0.0,True,True,Ca,Ba2TlCu4O11,1,3.835352,0.08598875254392624,True,False
mp-1229126,Ba2Ca4TlCu5O13,0.024994398833333875,-2.0572293903333336,False,5.7719440749511515,335.18113112549526,25,0.0,True,True,Ca,Ba2TlCu5O13,1,3.746915,0.08598875254392624,True,False
mp-1214698,Ba2CaBiO6,0.02754772049999943,-2.4425179470000002,False,6.094907547884908,168.83778230740148,10,0.0,True,True,Ca,Ba2BiO6,1,1.8595084,0.08598875254392624,True,False
mp-1354389,Ba2CaCo2CuF14,0.0,-3.0263044215,True,4.479646284441853,565.0148845302808,40,0.3508,False,True,Ca,Ba2Co2CuF14,1,5.354031,0.08598875254392624,True,False
mp-1045459,Ba2CaCu3F14,0.0,-2.8907139645,True,4.605572977330831,556.2186968762994,40,7.936286141520255e-06,True,True,Ca,Ba2Cu3F14,1,4.999286,0.08598875254392624,True,False
mp-1045649,Ba2CaCuAg2F14,0.018580216861114884,-2.6981503251666665,False,4.690295485933146,608.9383466921101,40,0.0,True,True,Ca,Ba2CuAg2F14,1,4.8433437,0.08598875254392624,True,False
