material_id	formula_pretty	energy_above_hull	formation_energy_per_atom	is_stable	density	volume	nsites	band_gap	is_metal	theoretical	working_ion	framework_formula	n_possible_working_ions	pred_average_voltage	pred_max_delta_volume	volume_prediction_valid	pareto
mp-1228579	Ba2Ca3Cu4HgO10	0.01957199	-2.056499591	False	5.687939471	294.7593312	20	0	True	True	Ca	Ba2Cu4HgO10	1	3.2385666	0.085988753	True	False
mp-1228589	Ba2Ca3TlCu4O11	0.025427959	-2.045317521	False	5.918988212	288.8060804	21	0	True	True	Ca	Ba2TlCu4O11	1	3.835352	0.085988753	True	False
mp-1229126	Ba2Ca4TlCu5O13	0.024994399	-2.05722939	False	5.771944075	335.1811311	25	0	True	True	Ca	Ba2TlCu5O13	1	3.746915	0.085988753	True	False
mp-1214698	Ba2CaBiO6	0.02754772	-2.442517947	False	6.094907548	168.8377823	10	0	True	True	Ca	Ba2BiO6	1	1.8595084	0.085988753	True	False
mp-1354389	Ba2CaCo2CuF14	0	-3.026304422	True	4.479646284	565.0148845	40	0.3508	False	True	Ca	Ba2Co2CuF14	1	5.354031	0.085988753	True	False
mp-1045459	Ba2CaCu3F14	0	-2.890713965	True	4.605572977	556.2186969	40	7.94E-06	True	True	Ca	Ba2Cu3F14	1	4.999286	0.085988753	True	False
mp-1045649	Ba2CaCuAg2F14	0.018580217	-2.698150325	False	4.690295486	608.9383467	40	0	True	True	Ca	Ba2CuAg2F14	1	4.8433437	0.085988753	True	False
mp-1045638	Ba2CaCuBi2F14	0.041795412	-3.249714815	False	5.379693973	655.7443286	40	1.0145	False	True	Ca	Ba2CuBi2F14	1	4.951418	0.085988753	True	False
mp-1228555	Ba2CaEr3(NiO5)2	0.009817572	-2.984532986	False	7.409982707	245.1350863	18	0.286	False	True	Ca	Ba2Er3(NiO5)2	1	0.9765963	0.085988753	True	False
mp-1214725	Ba2CaFe2CoF14	0.006697427	-3.31837807	False	4.377526948	570.0102131	40	2.4169	False	True	Ca	Ba2Fe2CoF14	1	5.093516	0.085988753	True	False
mp-1214730	Ba2CaGa2CuF14	0	-3.378147893	True	4.820069528	539.9786007	40	1.7659	False	True	Ca	Ba2Ga2CuF14	1	4.0671234	0.085988753	True	False
mp-753731	Ba2CaI6	0.039892943	-1.958713952	False	3.737768834	956.187418	18	3.6354	False	True	Ca	BaI3	1	2.2091475	0.89155525	True	False
mp-756725	Ba2CaI6	0.007009205	-1.99159769	False	4.50982417	792.4937636	18	3.5732	False	True	Ca	BaI3	1	2.2091475	1.050097466	True	False
mp-766288	Ba2CaI6	0.03540213	-1.963204765	False	4.554346627	1569.49298	36	3.4939	False	True	Ca	BaI3	1	2.2091475	1.091057777	True	False
mp-766301	Ba2CaI6	0.044640245	-1.95396665	False	4.158591192	1718.854951	36	3.4988	False	True	Ca	BaI3	1	2.2091475	0.990947485	True	False
mp-766317	Ba2CaI6	0.040843018	-1.957763877	False	3.84519356	1858.948047	36	3.8265	False	True	Ca	BaI3	1	2.2091475	0.930032134	True	False
mp-766340	Ba2CaI6	0.037121798	-1.961485097	False	3.856407747	1853.542345	36	3.8212	False	True	Ca	BaI3	1	2.2091475	0.891157746	True	False
mp-766343	Ba2CaI6	0.037683497	-1.960923398	False	4.073232648	1754.875225	36	3.6188	False	True	Ca	BaI3	1	2.2091475	0.989651561	True	False
mp-766351	Ba2CaI6	0.047688556	-1.950918339	False	4.197391437	1702.966037	36	3.551	False	True	Ca	BaI3	1	2.2091475	0.978434384	True	False
mp-859128	Ba2CaI6	0.028392382	-1.970214513	False	3.842936856	1395.029764	27	3.9865	False	True	Ca	BaI3	1	2.2091475	0.892075062	True	False
mp-20841	Ba2CaIrO6	0	-2.537359926	True	6.598059783	151.7437589	10	0	True	False	Ca	Ba2IrO6	1	2.3473415	0.085988753	True	False
mp-540862	Ba2CaMgAl2F14	0	-4.041261569	True	4.054001416	539.8410808	40	7.1835	False	False	Mg	Ba2CaAl2F14	2	2.9774773	0.085988753	True	False
mp-540862	Ba2CaMgAl2F14	0	-4.041261569	True	4.054001416	539.8410808	40	7.1835	False	False	Ca	Ba2MgAl2F14	2	4.0759816	0.085988753	True	False
mp-1214779	Ba2CaMnFe2F14	0.007280977	-3.411586827	False	4.24741149	584.3481068	40	2.1519	False	True	Ca	Ba2MnFe2F14	1	4.869843	0.085988753	True	False
mp-1214724	Ba2CaMnV2F14	0	-3.638397751	True	4.406805862	555.8214105	40	1.24830052	False	True	Ca	Ba2MnV2F14	1	3.341597	0.085988753	True	False
mp-1214858	Ba2CaMoN4	0	-1.100296364	True	4.919026696	1260.365741	64	2.4127	False	True	Ca	Ba2MoN4	1	0.69623077	0.085988753	True	False
mp-19403	Ba2CaMoO6	0	-2.902145721	True	5.478714234	153.5657158	10	2.2618	False	False	Ca	Ba2MoO6	1	1.742248	0.085988753	True	False
mp-1214679	Ba2CaNbO6	0.045699657	-3.087818578	False	5.223806075	160.0949991	10	0	True	True	Ca	Ba2NbO6	1	2.5312169	0.085988753	True	False
mp-6739	Ba2CaOsO6	0	-2.681412958	True	6.613556266	150.889304	10	0	True	False	Ca	Ba2OsO6	1	1.2048974	0.085988753	True	False
mp-758007	Ba2CaP4(H3O8)2	0	-2.56185142	True	3.421116778	680.1765788	58	5.4657	False	False	Ca	BaP2H3O8	1	2.848771	0.085988753	True	False
mp-6635	Ba2CaReO6	0.000181009	-2.915534629	False	6.517981424	152.0769221	10	0	True	False	Ca	Ba2ReO6	1	1.1008468	0.085988753	True	False
mp-12417	Ba2CaReO6	0	-2.915715638	True	6.665614876	148.7086445	10	0	True	False	Ca	Ba2ReO6	1	1.1008468	0.085988753	True	False
mp-1520564	Ba2CaSeO6	0	-2.549794024	True	5.662940597	143.590897	10	2.01	False	True	Ca	Ba2SeO6	1	2.4621108	0.085988753	True	False
mp-1019518	Ba2CaSi4(BO7)2	0	-3.312407686	True	3.511627884	636.1858818	46	4.8764	False	False	Ca	BaSi2BO7	1	2.393172	0.085988753	True	False
mp-550685	Ba2CaTeO6	0	-2.786920298	True	5.804636327	154.0002318	10	3.0122	False	False	Ca	Ba2TeO6	1	1.9364316	0.085988753	True	False
mp-573069	Ba2CaTl2(CuO4)2	0.0215253	-1.866609876	False	6.796121912	239.1040029	15	0	True	False	Ca	BaTlCuO4	1	2.2431264	0.085988753	True	False
mp-632802	Ba2CaTlCu2O7	0.04441318	-1.978087303	False	6.541687873	192.4619294	13	0	True	True	Ca	Ba2TlCu2O7	1	3.1457832	0.085988753	True	False
mp-557448	Ba2CaUO6	0	-3.55043611	True	6.390476255	337.1538573	20	2.1947	False	False	Ca	Ba2UO6	1	2.0114777	0.085988753	True	False
mp-1203415	Ba2CaV2CoF14	0	-3.539550328	True	4.271506261	576.5332192	40	2.5605	False	False	Ca	Ba2V2CoF14	1	3.406151	0.085988753	True	False
mp-1214736	Ba2CaV2FeF14	0	-3.58264188	True	4.235541281	579.0072521	40	1.021400464	False	True	Ca	Ba2V2FeF14	1	3.3442872	0.085988753	True	False
mp-669377	Ba2CaWN4	0.004157253	-1.143825119	False	6.144784146	599.4892274	32	1.8491	False	False	Ca	Ba2WN4	1	0.03313257	0.085988753	True	False
mp-18977	Ba2CaWO6	0.003040221	-3.02969635	False	6.377210101	154.8175521	10	3.183	False	False	Ca	Ba2WO6	1	0.6529804	0.085988753	True	False
mp-19098	Ba2CaWO6	0	-3.032736571	True	6.37778742	154.803538	10	3.2912	False	False	Ca	Ba2WO6	1	0.6529804	0.085988753	True	False
mp-19182	Ba2CaWO6	0.002527498	-3.030209073	False	6.373690489	154.9030438	10	3.1866	False	False	Ca	Ba2WO6	1	0.6529804	0.085988753	True	False
mp-1520571	Ba2CaWO6	0.004992724	-3.027743847	False	6.362965169	620.6565846	40	3.191	False	True	Ca	Ba2WO6	1	0.6529804	0.085988753	True	False
mp-1228573	Ba2CaY(Co4O7)2	0.028907651	-1.949858754	False	4.921557133	370.8359276	26	0.54	False	True	Ca	Ba2Y(Co4O7)2	1	2.7124064	0.085988753	True	False
mp-6075	Ba2Li(BO2)5	0	-3.03236291	True	3.770686087	436.5445478	36	4.9517	False	False	Li	Ba2(BO2)5	1	0.96950066	0.085988753	True	False
mp-1228731	Ba2Li3La3(MoO4)8	0.020441723	-2.550504211	False	4.738519306	697.9577027	48	2.50900311	False	True	Li	Ba2La3(MoO4)8	1	3.0550587	0.085988753	True	False
mp-1228739	Ba2Li3Y3(MoO4)8	0.047419116	-2.530619856	False	4.621221304	661.7746437	48	2.242803764	False	True	Li	Ba2Y3(MoO4)8	1	2.9828057	0.085988753	True	False
mp-1197768	Ba2LiAl(CN2)4	0	-0.870211854	True	3.091870745	1006.833453	64	4.1427	False	False	Li	Ba2Al(CN2)4	1	0.6805382	0.085988753	True	False
mp-1235553	Ba2LiEu(CuO2)4	0.027637014	-1.951919222	False	6.087567019	222.5133862	16	0	True	True	Li	Ba2Eu(CuO2)4	1	1.1340914	0.085988753	True	False
mp-8924	Ba2LiFe2N3	0.014259522	-0.572759364	False	5.275289067	274.0479683	16	0	True	False	Li	Ba2Fe2N3	1	0.8109194	0.085988753	True	False
mp-17491	Ba2LiGe3	0	-0.564515894	True	4.902861187	676.718464	24	0.097	False	False	Li	Ba2Ge3	1	0.14107132	2.595773935	True	False
mp-1207120	Ba2LiIO6	0	-2.235183334	True	5.8436577	143.3580037	10	2.0784	False	True	Li	Ba2IO6	1	2.089445	0.085988753	True	False
mp-10584	Ba2LiOsO6	0	-2.442012323	True	6.81691477	138.3161813	10	0	True	False	Li	Ba2OsO6	1	1.3056234	0.085988753	True	False
mp-10555	Ba2LiReN4	0	-0.96336058	True	6.095159029	285.4193578	16	1.7902	False	False	Li	Ba2ReN4	1	0.6580497	0.085988753	True	False
mp-6270	Ba2LiReO6	0	-2.741621016	True	6.70522939	139.6237497	10	1.8198	False	False	Li	Ba2ReO6	1	1.2600468	0.085988753	True	False
mp-15521	Ba2LiSi3	0	-0.394212634	True	3.726775296	652.049733	24	0.0923	False	False	Li	Ba2Si3	1	0.32599822	2.479295015	True	False
mp-1214633	Ba2LiTeO6	0	-2.382827871	True	5.791769561	144.8417531	10	0	True	True	Li	Ba2TeO6	1	1.7088562	0.085988753	True	False
mp-1214701	Ba2LiUO6	0.019972998	-3.137867113	False	6.669693902	306.5392779	20	0	True	True	Li	Ba2UO6	1	2.171229	0.085988753	True	False
